data
12.8
26.46
29.48
30.32
31.00
31.25
31.50
31.60
32.88
33.03
33.63
35.14
35.23
35.59
35.89
35.95
36.00
36.07
36.49
36.50
37.13
37.48
38.01
38.21
38.53
38.91
39.26
39.45
40.32
40.36
40.49
40.46
41.03
41.05
41.54
42.62
42.82
42.91
43.05
43.34
43.65
43.87
44.71
45.04
46.00
47.00
47.00
48.00
48.29
49.00
49.28
49.43
51.00
52.00
52.94
53.00
53.50
62.00
78.60
82.50
