data
40.0
37.9
29.0
31.7
39.3
40.7
42.7
40.0
50.3
33.8
39.3
42.1
45.5
41.4
47.6
38.6
35.9
41.4
44.1
40.0
40.7
42.1
38.6
36.5
40.7
